Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
24.000	0.92807	493.92	0.0020246	11.487	11.570	53.607	73.330	119.41	726.02	-0.015377	98.187	0.094185	0.0071441	20.088	0.049781	24.415	26.452	103.69	69.206	88.238	215.89	21.721	8.1473	0.018815
25.000	0.95207	492.36	0.0020310	11.605	11.690	54.002	73.511	119.89	719.28	-0.0042962	97.157	0.093718	0.0070236	20.618	0.048502	24.458	26.494	103.66	69.488	88.840	215.53	21.612	8.1813	0.018962
26.000	0.97653	490.79	0.0020375	11.722	11.810	54.397	73.694	120.38	712.54	0.0070715	96.136	0.093252	0.0069035	21.160	0.047260	24.502	26.537	103.62	69.773	89.455	215.15	21.505	8.2156	0.019111
27.000	1.0014	489.21	0.0020441	11.840	11.931	54.792	73.877	120.88	705.79	0.018737	95.123	0.092789	0.0067837	21.713	0.046055	24.545	26.578	103.59	70.059	90.084	214.76	21.401	8.2503	0.019262
28.000	1.0268	487.62	0.0020508	11.959	12.052	55.187	74.062	121.39	699.03	0.030713	94.118	0.092327	0.0066642	22.280	0.044884	24.588	26.620	103.56	70.348	90.727	214.37	21.299	8.2854	0.019415
29.000	1.0527	486.01	0.0020576	12.078	12.173	55.582	74.248	121.91	692.26	0.043012	93.120	0.091867	0.0065452	22.859	0.043747	24.630	26.661	103.53	70.639	91.384	213.96	21.200	8.3210	0.019570
30.000	1.0790	484.39	0.0020644	12.197	12.295	55.977	74.436	122.44	685.48	0.055648	92.129	0.091409	0.0064265	23.451	0.042643	24.673	26.702	103.50	70.932	92.057	213.53	21.104	8.3569	0.019727
31.000	1.1058	482.76	0.0020714	12.317	12.418	56.373	74.625	122.98	678.68	0.068635	91.146	0.090953	0.0063082	24.056	0.041569	24.715	26.742	103.47	71.227	92.746	213.10	21.010	8.3934	0.019886
32.000	1.1331	481.12	0.0020785	12.437	12.541	56.768	74.815	123.53	671.88	0.081988	90.170	0.090498	0.0061903	24.675	0.040527	24.757	26.782	103.44	71.524	93.451	212.65	20.918	8.4303	0.020048
33.000	1.1608	479.46	0.0020857	12.558	12.664	57.164	75.006	124.10	665.06	0.095723	89.201	0.090046	0.0060728	25.308	0.039513	24.798	26.821	103.41	71.824	94.174	212.19	20.829	8.4677	0.020213
34.000	1.1891	477.79	0.0020930	12.679	12.788	57.560	75.198	124.68	658.23	0.10986	88.239	0.089595	0.0059557	25.956	0.038527	24.840	26.860	103.37	72.126	94.915	211.71	20.742	8.5056	0.020379
35.000	1.2179	476.10	0.0021004	12.800	12.913	57.956	75.392	125.27	651.39	0.12441	87.283	0.089145	0.0058391	26.618	0.037568	24.881	26.899	103.34	72.430	95.676	211.22	20.658	8.5440	0.020549
36.000	1.2472	474.41	0.0021079	12.922	13.038	58.353	75.587	125.87	644.53	0.13940	86.334	0.088698	0.0057228	27.295	0.036636	24.922	26.937	103.31	72.737	96.456	210.72	20.576	8.5830	0.020721
37.000	1.2769	472.69	0.0021155	13.045	13.164	58.749	75.784	126.49	637.66	0.15484	85.392	0.088252	0.0056070	27.988	0.035729	24.962	26.974	103.28	73.046	97.257	210.20	20.496	8.6226	0.020896
38.000	1.3072	470.96	0.0021233	13.167	13.290	59.146	75.982	127.12	630.78	0.17076	84.455	0.087808	0.0054916	28.697	0.034847	25.003	27.011	103.25	73.358	98.081	209.68	20.418	8.6628	0.021074
