Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
46.000	1.1081	1229.9	0.00081307	29.572	29.681	139.24	75.039	127.60	425.58	0.10888	150.58	0.059430	0.0060402	63.222	0.015817	42.737	44.857	186.79	72.828	95.253	131.39	22.440	12.657	0.011441
47.000	1.1345	1225.7	0.00081583	29.697	29.808	139.63	75.145	128.09	421.40	0.12320	148.93	0.059076	0.0059241	64.806	0.015431	42.779	44.896	186.76	73.037	95.885	131.13	22.361	12.714	0.011506
48.000	1.1614	1221.5	0.00081864	29.821	29.936	140.02	75.252	128.58	417.21	0.13794	147.29	0.058722	0.0058084	66.424	0.015055	42.820	44.934	186.72	73.247	96.534	130.86	22.284	12.771	0.011571
49.000	1.1888	1217.3	0.00082149	29.947	30.065	140.41	75.359	129.09	413.01	0.15313	145.66	0.058368	0.0056933	68.079	0.014689	42.861	44.972	186.69	73.458	97.200	130.58	22.210	12.829	0.011637
50.000	1.2166	1213.0	0.00082438	30.072	30.193	140.80	75.468	129.61	408.79	0.16878	144.05	0.058013	0.0055786	69.771	0.014333	42.901	45.009	186.65	73.670	97.884	130.30	22.138	12.888	0.011703
51.000	1.2449	1208.7	0.00082732	30.198	30.323	141.19	75.578	130.15	404.57	0.18493	142.44	0.057657	0.0054644	71.501	0.013986	42.941	45.046	186.62	73.883	98.587	130.01	22.068	12.948	0.011770
52.000	1.2737	1204.4	0.00083030	30.324	30.452	141.58	75.689	130.70	400.33	0.20159	140.85	0.057301	0.0053507	73.270	0.013648	42.980	45.082	186.58	74.098	99.310	129.71	22.001	13.009	0.011838
53.000	1.3030	1200.0	0.00083334	30.451	30.583	141.98	75.801	131.26	396.08	0.21878	139.26	0.056944	0.0052375	75.080	0.013319	43.019	45.118	186.54	74.314	100.05	129.40	21.935	13.071	0.011905
54.000	1.3327	1195.6	0.00083642	30.578	30.713	142.37	75.914	131.84	391.82	0.23654	137.69	0.056586	0.0051248	76.930	0.012999	43.058	45.153	186.50	74.531	100.82	129.09	21.872	13.134	0.011974
55.000	1.3630	1191.1	0.00083955	30.706	30.844	142.76	76.029	132.44	387.54	0.25489	136.12	0.056228	0.0050126	78.823	0.012687	43.096	45.187	186.46	74.749	101.61	128.76	21.811	13.199	0.012043
56.000	1.3938	1186.6	0.00084274	30.834	30.976	143.15	76.146	133.06	383.25	0.27385	134.56	0.055869	0.0049009	80.759	0.012382	43.134	45.221	186.42	74.970	102.42	128.43	21.752	13.265	0.012113
57.000	1.4250	1182.1	0.00084598	30.962	31.108	143.54	76.264	133.69	378.94	0.29347	133.02	0.055509	0.0047898	82.741	0.012086	43.171	45.254	186.38	75.191	103.26	128.09	21.695	13.332	0.012183
58.000	1.4568	1177.5	0.00084928	31.091	31.241	143.93	76.384	134.35	374.62	0.31376	131.48	0.055148	0.0046792	84.768	0.011797	43.208	45.286	186.34	75.414	104.13	127.74	21.640	13.400	0.012255
59.000	1.4891	1172.8	0.00085264	31.221	31.374	144.32	76.505	135.02	370.28	0.33478	129.95	0.054786	0.0045692	86.843	0.011515	43.244	45.317	186.30	75.639	105.03	127.39	21.587	13.470	0.012327
60.000	1.5219	1168.1	0.00085605	31.350	31.508	144.71	76.629	135.72	365.92	0.35655	128.43	0.054423	0.0044597	88.966	0.011240	43.280	45.348	186.26	75.866	105.96	127.02	21.536	13.541	0.012399
61.000	1.5553	1163.4	0.00085954	31.481	31.642	145.11	76.754	136.44	361.55	0.37912	126.91	0.054059	0.0043507	91.141	0.010972	43.315	45.378	186.21	76.094	106.92	126.65	21.487	13.614	0.012473
62.000	1.5892	1158.6	0.00086309	31.612	31.777	145.50	76.882	137.19	357.16	0.40252	125.41	0.053694	0.0042424	93.367	0.010710	43.350	45.408	186.17	76.324	107.91	126.27	21.441	13.688	0.012547
63.000	1.6236	1153.8	0.00086670	31.743	31.913	145.89	77.011	137.96	352.75	0.42682	123.91	0.053327	0.0041346	95.647	0.010455	43.384	45.436	186.12	76.556	108.95	125.88	21.396	13.765	0.012622
64.000	1.6586	1148.9	0.00087039	31.875	32.049	146.29	77.143	138.76	348.32	0.45205	122.42	0.052960	0.0040274	97.982	0.010206	43.417	45.464	186.08	76.791	110.02	125.47	21.353	13.842	0.012698
65.000	1.6941	1144.0	0.00087415	32.007	32.186	146.68	77.278	139.59	343.87	0.47827	120.93	0.052591	0.0039208	100.37	0.0099627	43.450	45.491	186.03	77.027	111.13	125.07	21.313	13.922	0.012775
66.000	1.7302	1139.0	0.00087799	32.140	32.324	147.08	77.415	140.45	339.39	0.50553	119.45	0.052220	0.0038147	102.83	0.0097251	43.482	45.516	185.98	77.266	112.29	124.65	21.274	14.004	0.012853
67.000	1.7668	1133.9	0.00088191	32.273	32.462	147.47	77.555	141.35	334.90	0.53391	117.98	0.051848	0.0037093	105.34	0.0094930	43.513	45.541	185.92	77.507	113.50	124.22	21.237	14.088	0.012932
68.000	1.8041	1128.8	0.00088591	32.408	32.601	147.87	77.698	142.28	330.38	0.56347	116.51	0.051475	0.0036046	107.92	0.0092663	43.544	45.565	185.87	77.751	114.76	123.78	21.202	14.173	0.013012
69.000	1.8418	1123.6	0.00089000	32.542	32.740	148.26	77.844	143.25	325.84	0.59427	115.05	0.051100	0.0035004	110.56	0.0090448	43.574	45.588	185.82	77.997	116.08	123.33	21.169	14.261	0.013093
70.000	1.8802	1118.3	0.00089419	32.678	32.881	148.66	77.993	144.26	321.28	0.62641	113.59	0.050723	0.0033969	113.27	0.0088283	43.603	45.610	185.76	78.246	117.45	122.88	21.138	14.352	0.013175
71.000	1.9192	1113.0	0.00089847	32.814	33.022	149.06	78.146	145.32	316.69	0.65995	112.14	0.050344	0.0032941	116.05	0.0086167	43.632	45.631	185.70	78.498	118.89	122.41	21.109	14.445	0.013258
72.000	1.9587	1107.6	0.00090284	32.950	33.164	149.46	78.303	146.42	312.08	0.69501	110.69	0.049963	0.0031919	118.91	0.0084097	43.659	45.651	185.64	78.753	120.39	121.93	21.081	14.540	0.013343
73.000	1.9989	1102.1	0.00090733	33.087	33.307	149.86	78.464	147.58	307.44	0.73168	109.25	0.049580	0.0030905	121.84	0.0082073	43.686	45.670	185.58	79.012	121.97	121.44	21.055	14.639	0.013429
74.000	2.0397	1096.6	0.00091192	33.225	33.450	150.26	78.629	148.79	302.77	0.77006	107.81	0.049194	0.0029897	124.86	0.0080092	43.712	45.687	185.51	79.274	123.63	120.95	21.031	14.740	0.013517
75.000	2.0811	1090.9	0.00091663	33.364	33.595	150.66	78.798	150.05	298.07	0.81028	106.37	0.048806	0.0028896	127.95	0.0078154	43.737	45.703	185.44	79.539	125.38	120.44	21.008	14.844	0.013606
76.000	2.1231	1085.2	0.00092147	33.504	33.740	151.07	78.972	151.39	293.35	0.85246	104.94	0.048416	0.0027902	131.14	0.0076257	43.761	45.718	185.37	79.809	127.22	119.92	20.987	14.952	0.013696
