Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
40.340	1.5692	579.06	0.0017269	9.1129	9.1590	36.320	47.006	84.087	1221.3	-0.033306	109.80	0.43529	0.017044	12.138	0.082388	25.658	27.860	95.973	39.030	60.066	403.52	21.330	10.367	0.031006
41.340	1.6131	577.44	0.0017318	9.1958	9.2434	36.585	46.989	84.296	1213.6	-0.029375	108.76	0.43299	0.016821	12.478	0.080141	25.662	27.864	95.793	39.199	60.551	403.36	21.072	10.401	0.031241
42.340	1.6579	575.80	0.0017367	9.2788	9.3279	36.849	46.972	84.509	1205.9	-0.025355	107.73	0.43068	0.016599	12.826	0.077965	25.666	27.868	95.614	39.369	61.046	403.19	20.818	10.436	0.031480
43.340	1.7037	574.16	0.0017417	9.3620	9.4126	37.113	46.956	84.728	1198.1	-0.021245	106.71	0.42837	0.016377	13.182	0.075858	25.670	27.871	95.435	39.540	61.550	403.01	20.569	10.471	0.031723
44.340	1.7503	572.51	0.0017467	9.4454	9.4975	37.376	46.941	84.952	1190.4	-0.017042	105.70	0.42606	0.016156	13.547	0.073817	25.673	27.874	95.256	39.712	62.065	402.82	20.324	10.506	0.031969
45.340	1.7980	570.85	0.0017518	9.5290	9.5826	37.639	46.927	85.181	1182.6	-0.012742	104.70	0.42374	0.015935	13.920	0.071839	25.676	27.876	95.077	39.886	62.589	402.61	20.083	10.542	0.032218
46.340	1.8466	569.18	0.0017569	9.6127	9.6679	37.902	46.913	85.415	1174.8	-0.0083422	103.71	0.42143	0.015714	14.302	0.069923	25.679	27.878	94.899	40.060	63.125	402.39	19.846	10.578	0.032472
47.340	1.8962	567.50	0.0017621	9.6966	9.7535	38.165	46.899	85.655	1166.9	-0.0038401	102.72	0.41911	0.015494	14.692	0.068065	25.681	27.879	94.722	40.235	63.672	402.16	19.613	10.614	0.032729
48.340	1.9468	565.81	0.0017674	9.7807	9.8393	38.428	46.887	85.902	1159.1	0.00076786	101.75	0.41678	0.015275	15.091	0.066263	25.683	27.880	94.544	40.412	64.230	401.92	19.385	10.650	0.032990
49.340	1.9984	564.12	0.0017727	9.8650	9.9253	38.690	46.875	86.154	1151.2	0.0054850	100.78	0.41446	0.015056	15.500	0.064517	25.685	27.881	94.367	40.589	64.800	401.66	19.159	10.686	0.033255
50.340	2.0510	562.41	0.0017781	9.9494	10.012	38.952	46.864	86.412	1143.3	0.010315	99.822	0.41213	0.014837	15.918	0.062823	25.686	27.880	94.190	40.768	65.382	401.39	18.938	10.723	0.033524
51.340	2.1046	560.69	0.0017835	10.034	10.098	39.214	46.853	86.677	1135.3	0.015261	98.872	0.40980	0.014619	16.345	0.061179	25.687	27.880	94.013	40.948	65.977	401.11	18.720	10.760	0.033797
52.340	2.1593	558.95	0.0017891	10.119	10.185	39.476	46.843	86.949	1127.4	0.020328	97.930	0.40747	0.014402	16.783	0.059585	25.687	27.878	93.836	41.129	66.586	400.81	18.506	10.798	0.034075
53.340	2.2151	557.21	0.0017946	10.204	10.272	39.737	46.834	87.228	1119.4	0.025519	96.995	0.40514	0.014185	17.230	0.058038	25.687	27.877	93.659	41.311	67.208	400.50	18.295	10.835	0.034357
54.340	2.2719	555.46	0.0018003	10.289	10.359	39.999	46.826	87.513	1111.4	0.030839	96.068	0.40280	0.013968	17.688	0.056536	25.687	27.874	93.483	41.494	67.845	400.18	18.087	10.873	0.034644
55.340	2.3298	553.70	0.0018060	10.375	10.446	40.260	46.818	87.807	1103.4	0.036291	95.149	0.40047	0.013752	18.156	0.055078	25.686	27.872	93.306	41.679	68.496	399.84	17.883	10.912	0.034935
56.340	2.3889	551.92	0.0018119	10.461	10.534	40.521	46.811	88.108	1095.3	0.041881	94.236	0.39813	0.013537	18.635	0.053662	25.685	27.868	93.130	41.865	69.162	399.49	17.681	10.950	0.035232
57.340	2.4490	550.13	0.0018177	10.546	10.622	40.782	46.805	88.417	1087.2	0.047614	93.330	0.39579	0.013322	19.125	0.052287	25.683	27.864	92.953	42.052	69.845	399.13	17.483	10.989	0.035533
58.340	2.5103	548.33	0.0018237	10.633	10.711	41.043	46.800	88.735	1079.1	0.053494	92.431	0.39345	0.013108	19.627	0.050952	25.681	27.860	92.777	42.241	70.544	398.75	17.288	11.029	0.035840
59.340	2.5727	546.52	0.0018298	10.719	10.799	41.304	46.795	89.061	1071.0	0.059527	91.539	0.39111	0.012895	20.139	0.049654	25.679	27.854	92.600	42.431	71.260	398.35	17.096	11.069	0.036153
60.340	2.6362	544.69	0.0018359	10.806	10.888	41.565	46.791	89.396	1062.8	0.065717	90.653	0.38877	0.012681	20.664	0.048393	25.676	27.849	92.424	42.623	71.994	397.94	16.906	11.109	0.036470
61.340	2.7010	542.86	0.0018421	10.892	10.977	41.826	46.788	89.741	1054.6	0.072072	89.773	0.38643	0.012469	21.201	0.047168	25.673	27.842	92.247	42.816	72.747	397.52	16.719	11.150	0.036794
62.340	2.7669	541.00	0.0018484	10.980	11.067	42.087	46.786	90.095	1046.4	0.078598	88.899	0.38409	0.012257	21.750	0.045977	25.669	27.835	92.070	43.010	73.519	397.08	16.535	11.191	0.037124
63.340	2.8340	539.14	0.0018548	11.067	11.156	42.348	46.784	90.460	1038.1	0.085299	88.031	0.38175	0.012046	22.312	0.044819	25.665	27.828	91.893	43.206	74.311	396.63	16.354	11.232	0.037460
64.340	2.9023	537.26	0.0018613	11.155	11.247	42.609	46.784	90.835	1029.9	0.092185	87.169	0.37940	0.011835	22.887	0.043693	25.660	27.819	91.715	43.403	75.124	396.16	16.175	11.274	0.037803
65.340	2.9718	535.37	0.0018679	11.242	11.337	42.870	46.784	91.222	1021.5	0.099260	86.313	0.37706	0.011626	23.475	0.042598	25.654	27.810	91.538	43.602	75.960	395.68	15.999	11.317	0.038152
66.340	3.0426	533.46	0.0018746	11.331	11.428	43.131	46.785	91.620	1013.2	0.10653	85.462	0.37472	0.011416	24.077	0.041533	25.649	27.801	91.360	43.802	76.818	395.18	15.825	11.360	0.038508
67.340	3.1147	531.53	0.0018813	11.419	11.519	43.392	46.787	92.030	1004.8	0.11401	84.616	0.37238	0.011208	24.694	0.040496	25.642	27.790	91.181	44.004	77.700	394.66	15.653	11.404	0.038872
68.340	3.1880	529.60	0.0018882	11.508	11.610	43.653	46.790	92.453	996.40	0.12171	83.776	0.37003	0.010999	25.324	0.039488	25.635	27.779	91.002	44.208	78.606	394.13	15.484	11.448	0.039243
69.340	3.2626	527.64	0.0018952	11.597	11.702	43.915	46.794	92.889	987.95	0.12962	82.940	0.36769	0.010792	25.970	0.038506	25.628	27.768	90.823	44.413	79.539	393.58	15.317	11.493	0.039622
70.340	3.3384	525.67	0.0019023	11.686	11.794	44.176	46.799	93.339	979.47	0.13777	82.110	0.36535	0.010585	26.631	0.037551	25.620	27.755	90.643	44.620	80.500	393.02	15.152	11.538	0.040010
71.340	3.4156	523.68	0.0019095	11.776	11.887	44.438	46.806	93.803	970.95	0.14616	81.284	0.36301	0.010379	27.307	0.036620	25.612	27.742	90.463	44.829	81.489	392.44	14.989	11.585	0.040406
72.340	3.4942	521.68	0.0019169	11.866	11.980	44.700	46.813	94.283	962.40	0.15480	80.463	0.36067	0.010174	28.000	0.035715	25.603	27.728	90.283	45.040	82.507	391.84	14.828	11.631	0.040811
73.340	3.5740	519.66	0.0019243	11.956	12.073	44.962	46.821	94.779	953.80	0.16371	79.647	0.35833	0.0099696	28.709	0.034832	25.593	27.713	90.101	45.252	83.557	391.22	14.670	11.679	0.041225
74.340	3.6553	517.62	0.0019319	12.046	12.167	45.225	46.830	95.291	945.17	0.17289	78.834	0.35599	0.0097657	29.435	0.033973	25.583	27.698	89.919	45.466	84.641	390.59	14.513	11.727	0.041649
75.340	3.7378	515.56	0.0019396	12.137	12.261	45.488	46.841	95.821	936.51	0.18236	78.027	0.35365	0.0095625	30.179	0.033136	25.572	27.681	89.737	45.683	85.758	389.94	14.358	11.776	0.042083
76.340	3.8218	513.48	0.0019475	12.229	12.355	45.751	46.853	96.370	927.80	0.19212	77.223	0.35131	0.0093601	30.941	0.032320	25.560	27.664	89.553	45.901	86.912	389.27	14.205	11.826	0.042528
77.340	3.9072	511.39	0.0019555	12.320	12.450	46.014	46.866	96.939	919.04	0.20220	76.423	0.34897	0.0091585	31.721	0.031525	25.548	27.646	89.369	46.121	88.104	388.58	14.054	11.877	0.042985
78.340	3.9940	509.27	0.0019636	12.412	12.546	46.278	46.880	97.528	910.25	0.21261	75.627	0.34663	0.0089575	32.521	0.030749	25.535	27.627	89.184	46.343	89.337	387.87	13.904	11.928	0.043453
79.340	4.0823	507.13	0.0019719	12.505	12.642	46.542	46.896	98.139	901.41	0.22336	74.835	0.34429	0.0087574	33.340	0.029994	25.522	27.607	88.998	46.567	90.612	387.15	13.756	11.980	0.043933
80.340	4.1720	504.97	0.0019803	12.598	12.738	46.807	46.913	98.774	892.53	0.23448	74.046	0.34196	0.0085581	34.180	0.029257	25.508	27.586	88.811	46.793	91.931	386.40	13.610	12.034	0.044427
