Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-64.000	0.0038099	665.25	0.0015032	3.4862	3.4866	24.292	86.388	121.11	1386.8	-0.50370	421.48	0.14505	0.022657	0.12782	7.8238	27.144	28.876	145.69	70.047	78.524	182.45	78.186	5.2073	0.0091164
-63.000	0.0040849	664.29	0.0015054	3.6074	3.6078	24.870	86.480	121.25	1381.2	-0.50222	415.66	0.14458	0.022531	0.13642	7.3305	27.213	28.953	145.48	70.251	78.736	182.83	76.970	5.2319	0.0091857
-62.000	0.0043764	663.33	0.0015075	3.7287	3.7291	25.446	86.573	121.40	1375.6	-0.50073	409.98	0.14410	0.022404	0.14549	6.8733	27.282	29.030	145.27	70.456	78.950	183.21	75.779	5.2564	0.0092552
-61.000	0.0046851	662.37	0.0015097	3.8502	3.8506	26.020	86.668	121.55	1370.0	-0.49922	404.41	0.14363	0.022278	0.15506	6.4493	27.351	29.107	145.07	70.662	79.165	183.59	74.615	5.2809	0.0093251
-60.000	0.0050120	661.40	0.0015119	3.9718	3.9723	26.592	86.765	121.70	1364.4	-0.49769	398.96	0.14315	0.022151	0.16513	6.0558	27.421	29.185	144.88	70.869	79.382	183.96	73.476	5.3054	0.0093952
-59.000	0.0053577	660.44	0.0015141	4.0936	4.0941	27.162	86.864	121.86	1358.8	-0.49615	393.63	0.14268	0.022025	0.17574	5.6902	27.490	29.262	144.69	71.077	79.600	184.33	72.361	5.3299	0.0094657
-58.000	0.0057232	659.47	0.0015164	4.2155	4.2160	27.730	86.964	122.01	1353.2	-0.49458	388.41	0.14221	0.021899	0.18690	5.3504	27.560	29.340	144.50	71.286	79.819	184.69	71.270	5.3544	0.0095365
-57.000	0.0061092	658.51	0.0015186	4.3376	4.3381	28.296	87.066	122.17	1347.6	-0.49300	383.30	0.14173	0.021773	0.19864	5.0343	27.630	29.418	144.32	71.496	80.040	185.06	70.202	5.3788	0.0096075
-56.000	0.0065168	657.54	0.0015208	4.4598	4.4604	28.860	87.169	122.33	1342.1	-0.49139	378.29	0.14126	0.021647	0.21097	4.7400	27.700	29.495	144.15	71.707	80.263	185.42	69.157	5.4032	0.0096789
-55.000	0.0069468	656.57	0.0015231	4.5822	4.5829	29.422	87.274	122.49	1336.5	-0.48977	373.39	0.14078	0.021521	0.22392	4.4659	27.770	29.573	143.98	71.919	80.487	185.78	68.134	5.4276	0.0097506
-54.000	0.0074001	655.60	0.0015253	4.7048	4.7055	29.983	87.381	122.66	1330.9	-0.48813	368.58	0.14030	0.021395	0.23751	4.2103	27.841	29.652	143.81	72.133	80.712	186.14	67.133	5.4520	0.0098226
-53.000	0.0078778	654.63	0.0015276	4.8275	4.8282	30.542	87.489	122.82	1325.4	-0.48648	363.87	0.13983	0.021270	0.25177	3.9719	27.911	29.730	143.65	72.347	80.939	186.49	66.152	5.4763	0.0098950
-52.000	0.0083807	653.66	0.0015299	4.9504	4.9512	31.099	87.599	122.99	1319.8	-0.48480	359.25	0.13935	0.021144	0.26671	3.7493	27.982	29.808	143.50	72.563	81.168	186.84	65.192	5.5006	0.0099676
