Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-77.000	0.0028641	661.51	0.0015117	2.1893	2.1895	17.781	78.648	113.59	1412.8	-0.54754	586.01	0.13069	0.021897	0.10237	9.7682	24.819	26.445	141.44	62.740	71.176	177.89	81.919	4.9828	0.0077312
-76.000	0.0030891	660.52	0.0015140	2.3030	2.3032	18.359	78.790	113.79	1406.6	-0.54563	575.53	0.13027	0.021778	0.10987	9.1014	24.881	26.515	141.17	62.977	71.421	178.28	80.563	5.0080	0.0078078
-75.000	0.0033287	659.53	0.0015162	2.4169	2.4172	18.935	78.933	114.00	1400.5	-0.54371	565.33	0.12985	0.021659	0.11782	8.4874	24.943	26.585	140.90	63.215	71.666	178.67	79.239	5.0331	0.0078847
-74.000	0.0035839	658.55	0.0015185	2.5309	2.5313	19.509	79.076	114.20	1394.3	-0.54178	555.39	0.12943	0.021539	0.12624	7.9214	25.005	26.655	140.64	63.453	71.912	179.06	77.945	5.0583	0.0079618
-73.000	0.0038553	657.56	0.0015208	2.6452	2.6456	20.082	79.221	114.40	1388.2	-0.53984	545.71	0.12901	0.021420	0.13515	7.3992	25.068	26.726	140.39	63.692	72.159	179.44	76.682	5.0834	0.0080391
-72.000	0.0041438	656.57	0.0015231	2.7597	2.7601	20.652	79.366	114.61	1382.1	-0.53789	536.29	0.12859	0.021301	0.14457	6.9170	25.131	26.796	140.15	63.931	72.407	179.82	75.448	5.1084	0.0081166
-71.000	0.0044502	655.58	0.0015254	2.8744	2.8748	21.221	79.512	114.81	1376.0	-0.53592	527.10	0.12817	0.021182	0.15453	6.4714	25.194	26.867	139.91	64.171	72.655	180.20	74.243	5.1335	0.0081944
-70.000	0.0047753	654.58	0.0015277	2.9893	2.9898	21.788	79.659	115.02	1369.9	-0.53394	518.15	0.12775	0.021062	0.16504	6.0592	25.257	26.938	139.67	64.412	72.905	180.57	73.065	5.1585	0.0082724
-69.000	0.0051201	653.59	0.0015300	3.1044	3.1049	22.353	79.807	115.22	1363.8	-0.53195	509.41	0.12733	0.020943	0.17613	5.6776	25.320	27.010	139.45	64.653	73.156	180.95	71.915	5.1835	0.0083506
-68.000	0.0054855	652.59	0.0015323	3.2198	3.2203	22.917	79.955	115.43	1357.7	-0.52994	500.90	0.12690	0.020824	0.18783	5.3241	25.383	27.081	139.23	64.895	73.408	181.32	70.790	5.2085	0.0084290
-67.000	0.0058724	651.60	0.0015347	3.3353	3.3358	23.479	80.105	115.64	1351.6	-0.52792	492.60	0.12648	0.020705	0.20015	4.9963	25.447	27.153	139.01	65.137	73.660	181.69	69.691	5.2334	0.0085077
-66.000	0.0062818	650.60	0.0015370	3.4510	3.4516	24.039	80.255	115.85	1345.6	-0.52589	484.49	0.12606	0.020586	0.21312	4.6921	25.511	27.224	138.80	65.380	73.914	182.05	68.617	5.2583	0.0085866
