Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-48.000	0.071447	1429.9	0.00069935	12.636	12.641	67.867	56.579	93.495	884.09	-0.35521	378.69	0.11678	0.019414	3.3953	0.29453	31.416	33.236	159.34	41.322	50.949	158.73	53.762	9.4047	0.0066870
-47.000	0.075121	1427.0	0.00070075	12.730	12.734	68.281	56.581	93.586	879.43	-0.35289	373.79	0.11630	0.019249	3.5578	0.28108	31.451	33.277	159.12	41.471	51.147	158.93	53.035	9.4455	0.0067356
-46.000	0.078942	1424.2	0.00070216	12.823	12.828	68.694	56.584	93.680	874.78	-0.35052	368.98	0.11583	0.019085	3.7262	0.26837	31.486	33.317	158.90	41.620	51.347	159.13	52.323	9.4862	0.0067844
-45.000	0.082917	1421.3	0.00070358	12.917	12.922	69.105	56.588	93.776	870.13	-0.34811	364.27	0.11535	0.018921	3.9009	0.25635	31.520	33.358	158.68	41.770	51.550	159.33	51.626	9.5268	0.0068335
-44.000	0.087048	1418.4	0.00070501	13.011	13.016	69.515	56.594	93.874	865.48	-0.34564	359.64	0.11488	0.018757	4.0820	0.24498	31.555	33.399	158.47	41.920	51.755	159.53	50.943	9.5675	0.0068829
-43.000	0.091341	1415.5	0.00070645	13.104	13.110	69.923	56.601	93.976	860.82	-0.34313	355.10	0.11440	0.018593	4.2696	0.23422	31.590	33.440	158.26	42.072	51.963	159.71	50.273	9.6081	0.0069325
-42.000	0.095799	1412.6	0.00070790	13.198	13.204	70.330	56.609	94.080	856.17	-0.34057	350.64	0.11393	0.018430	4.4638	0.22402	31.624	33.480	158.05	42.225	52.172	159.90	49.617	9.6487	0.0069823
-41.000	0.10043	1409.7	0.00070936	13.292	13.298	70.736	56.619	94.186	851.52	-0.33796	346.26	0.11346	0.018266	4.6649	0.21437	31.659	33.520	157.84	42.378	52.385	160.08	48.974	9.6893	0.0070324
-40.000	0.10523	1406.8	0.00071083	13.386	13.393	71.140	56.629	94.296	846.86	-0.33529	341.97	0.11299	0.018103	4.8730	0.20521	31.693	33.561	157.64	42.532	52.600	160.26	48.344	9.7298	0.0070827
-39.000	0.11021	1403.9	0.00071231	13.481	13.487	71.544	56.641	94.408	842.21	-0.33258	337.75	0.11251	0.017941	5.0883	0.19653	31.728	33.601	157.44	42.688	52.817	160.43	47.727	9.7703	0.0071333
-38.000	0.11538	1401.0	0.00071380	13.575	13.582	71.945	56.655	94.523	837.55	-0.32981	333.60	0.11204	0.017778	5.3109	0.18829	31.762	33.641	157.25	42.844	53.037	160.60	47.121	9.8108	0.0071841
-37.000	0.12073	1398.0	0.00071530	13.669	13.677	72.346	56.669	94.641	832.89	-0.32699	329.53	0.11157	0.017616	5.5411	0.18047	31.797	33.681	157.05	43.001	53.260	160.76	46.528	9.8513	0.0072352
-36.000	0.12628	1395.1	0.00071681	13.764	13.772	72.746	56.685	94.761	828.24	-0.32411	325.53	0.11111	0.017454	5.7790	0.17304	31.831	33.720	156.86	43.159	53.486	160.92	45.946	9.8917	0.0072866
-35.000	0.13203	1392.1	0.00071834	13.858	13.867	73.144	56.702	94.884	823.58	-0.32118	321.59	0.11064	0.017292	6.0247	0.16598	31.865	33.760	156.68	43.318	53.714	161.07	45.375	9.9321	0.0073382
-34.000	0.13797	1389.1	0.00071987	13.953	13.962	73.541	56.720	95.010	818.92	-0.31820	317.73	0.11017	0.017130	6.2786	0.15927	31.899	33.799	156.49	43.478	53.945	161.22	44.816	9.9726	0.0073901
-33.000	0.14413	1386.2	0.00072142	14.048	14.057	73.937	56.740	95.139	814.26	-0.31516	313.93	0.10970	0.016969	6.5407	0.15289	31.933	33.838	156.31	43.638	54.179	161.37	44.267	10.013	0.0074422
-32.000	0.15050	1383.2	0.00072297	14.143	14.152	74.332	56.760	95.270	809.60	-0.31206	310.19	0.10924	0.016808	6.8113	0.14682	31.967	33.877	156.13	43.800	54.416	161.51	43.729	10.053	0.0074946
-31.000	0.15708	1380.2	0.00072454	14.238	14.248	74.725	56.782	95.405	804.94	-0.30890	306.51	0.10877	0.016647	7.0905	0.14103	32.001	33.916	155.95	43.963	54.655	161.65	43.201	10.094	0.0075473
-30.000	0.16389	1377.2	0.00072612	14.333	14.344	75.118	56.805	95.542	800.28	-0.30568	302.89	0.10830	0.016486	7.3785	0.13553	32.035	33.955	155.77	44.126	54.898	161.78	42.683	10.134	0.0076003
-29.000	0.17092	1374.2	0.00072772	14.429	14.439	75.509	56.830	95.682	795.62	-0.30240	299.34	0.10784	0.016326	7.6756	0.13028	32.068	33.994	155.60	44.291	55.144	161.90	42.175	10.174	0.0076535
-28.000	0.17819	1371.1	0.00072932	14.524	14.535	75.899	56.855	95.825	790.95	-0.29906	295.84	0.10738	0.016166	7.9819	0.12528	32.102	34.032	155.43	44.456	55.393	162.03	41.677	10.215	0.0077070
-27.000	0.18569	1368.1	0.00073094	14.620	14.631	76.289	56.882	95.971	786.29	-0.29566	292.39	0.10691	0.016006	8.2976	0.12052	32.135	34.070	155.26	44.623	55.645	162.14	41.188	10.255	0.0077609
-26.000	0.19344	1365.0	0.00073258	14.715	14.728	76.677	56.910	96.120	781.62	-0.29219	289.00	0.10645	0.015846	8.6230	0.11597	32.169	34.109	155.09	44.790	55.900	162.25	40.709	10.296	0.0078149
-25.000	0.20143	1362.0	0.00073422	14.811	14.824	77.064	56.939	96.271	776.96	-0.28866	285.66	0.10599	0.015687	8.9582	0.11163	32.202	34.146	154.93	44.959	56.159	162.36	40.238	10.336	0.0078693
-24.000	0.20968	1358.9	0.00073588	14.907	14.921	77.451	56.970	96.426	772.29	-0.28506	282.37	0.10552	0.015528	9.3035	0.10749	32.235	34.184	154.77	45.128	56.420	162.46	39.776	10.376	0.0079240
-23.000	0.21819	1355.8	0.00073755	15.004	15.017	77.836	57.001	96.584	767.62	-0.28140	279.13	0.10506	0.015369	9.6591	0.10353	32.269	34.222	154.61	45.298	56.686	162.56	39.323	10.417	0.0079789
-22.000	0.22696	1352.7	0.00073923	15.100	15.114	78.220	57.034	96.744	762.95	-0.27767	275.94	0.10460	0.015211	10.025	0.099749	32.302	34.259	154.45	45.470	56.954	162.65	38.878	10.457	0.0080342
-21.000	0.23600	1349.6	0.00074093	15.196	15.211	78.604	57.068	96.908	758.28	-0.27386	272.80	0.10414	0.015052	10.402	0.096135	32.334	34.296	154.29	45.642	57.227	162.74	38.442	10.498	0.0080898
-20.000	0.24531	1346.5	0.00074265	15.293	15.309	78.986	57.103	97.074	753.61	-0.26999	269.71	0.10368	0.014894	10.790	0.092681	32.367	34.333	154.14	45.815	57.502	162.82	38.013	10.538	0.0081456
-19.000	0.25491	1343.4	0.00074438	15.390	15.406	79.368	57.139	97.244	748.94	-0.26605	266.66	0.10322	0.014737	11.189	0.089376	32.400	34.370	153.98	45.989	57.782	162.90	37.592	10.579	0.0082018
-18.000	0.26479	1340.3	0.00074612	15.487	15.504	79.749	57.176	97.417	744.26	-0.26203	263.65	0.10276	0.014579	11.599	0.086214	32.432	34.406	153.83	46.164	58.065	162.97	37.179	10.619	0.0082583
